rank,age,height_cm,weight_kg,bmi,19.1_rank,19.2_rank,19.3_rank,19.4_rank,19.5_rank
10339,33,185.0,95.0,27.8,14443,12971,10548,17169,23665
10340,30,178.0,84.0,26.5,15232,9224,18813,10311,25220
10341,30,170.0,75.0,26.0,7433,8081,26444,19695,17150
10343,37,173.0,81.0,27.1,36340,11115,12692,11719,6955
10344,33,178.0,84.0,26.5,4465,12765,31589,18244,11769
10345,35,180.0,82.0,25.3,20070,23337,9983,8610,16839
10346,23,178.0,75.0,23.7,47717,13300,3847,5999,7980
10347,28,178.0,93.0,29.4,13831,9831,24042,28162,2980
10348,31,178.0,84.0,26.5,21334,14313,25153,11758,6309
10349,32,169.0,75.0,26.3,28158,30961,6575,8380,4796
10350,25,170.0,75.0,26.0,20070,15173,11019,11758,20864
10351,22,183.0,83.0,24.8,6260,20671,11804,27933,12220
10352,37,181.0,79.0,24.1,10735,11278,22690,16427,17768
10353,27,180.0,91.0,28.1,12109,22728,8222,24391,11462
10353,35,168.0,79.0,28.0,26601,9902,20428,12230,9751
10355,22,177.0,76.0,24.3,21334,19429,15304,10799,12053
10356,29,170.0,72.0,24.9,38189,16530,12015,7136,5053
10357,32,173.0,75.0,25.1,18387,10980,2582,24860,22117
10357,22,175.0,79.0,25.8,25821,6915,26782,13885,5523
10359,41,175.0,75.0,24.5,22820,18941,5034,12940,19200
10360,29,171.0,82.0,28.0,25821,9831,8465,20857,13973
10362,41,183.0,96.0,28.7,5102,15711,25583,25046,7520
10363,17,175.0,78.0,25.5,46622,20815,273,7432,3828
10365,38,163.0,76.0,28.6,51743,8239,3666,9031,6309
10365,27,190.0,98.0,27.1,9188,8773,26685,20117,14225
10367,28,170.0,77.0,26.6,21334,18775,15304,11424,12165
10368,33,183.0,86.0,25.7,15232,12706,19726,10766,20583
10369,38,184.0,81.0,23.9,601,23854,23739,11045,19785
10369,39,178.0,83.0,26.2,25056,20459,6503,18320,8686
10371,46,183.0,95.0,28.4,1564,11469,25019,27802,13188
10372,25,188.0,94.0,26.6,1266,24713,20659,22755,9651
